bot (4, 11) is moving: {'action': 'walk', 'direction': 'r'}
bot (5, 11) is moving: {'action': 'walk', 'direction': 'u'}
bot (5, 10) is moving: {'action': 'walk', 'direction': 'r'}
bot (6, 10) is moving: {'action': 'walk', 'direction': 'r'}
bot (7, 10) is moving: {'action': 'walk', 'direction': 'r'}
bot (8, 10) is moving: {'action': 'walk', 'direction': 'r'}
bot (9, 10) is moving: {'action': 'walk', 'direction': 'r'}
bot (10, 10) is moving: {'action': 'walk', 'direction': 'r'}
bot (11, 10) is moving: {'action': 'walk', 'direction': 'r'}
bot (12, 10) is moving: {'action': 'walk', 'direction': 'r'}
bot (13, 10) is moving: {'action': 'walk', 'direction': 'r'}
bot (14, 10) is moving: {'action': 'walk', 'direction': 'r'}
bot (15, 10) is moving: {'action': 'walk', 'direction': 'r'}
bot (16, 10) is moving: {'action': 'walk', 'direction': 'l'}
bot (9, 10) is moving: {'action': 'walk', 'direction': 'r'}
bot (15, 10) is moving: {'action': 'walk', 'direction': 'l'}
bot (10, 10) is moving: {'action': 'walk', 'direction': 'r'}
bot (14, 10) is moving: {'action': 'walk', 'direction': 'l'}
bot (11, 10) is moving: {'action': 'walk', 'direction': 'r'}

===============Round 30===============
Executing cmd: /home/k/knxboy001/public_html/genghis/bots/KNXBOY001 is doing attack l
Gamestate before (13, 10) attacks with knxboy001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
Bot {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}} does not have the weapon knxboy001 that it's trying to attack with
Gamestate after (13, 10) attacked with knxboy001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
Executing cmd: /home/k/knxboy001/public_html/genghis/bots/MSHSTU001 is doing attack r
Gamestate before (12, 10) attacks with mshstu001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
Bot {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}} does not have the weapon mshstu001 that it's trying to attack with
Gamestate after (12, 10) attacked with mshstu001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
0:03:55 left
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}

===============Round 31===============
Executing cmd: /home/k/knxboy001/public_html/genghis/bots/KNXBOY001 is doing attack l
Gamestate before (13, 10) attacks with knxboy001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
Bot {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}} does not have the weapon knxboy001 that it's trying to attack with
Gamestate after (13, 10) attacked with knxboy001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
Executing cmd: /home/k/knxboy001/public_html/genghis/bots/MSHSTU001 is doing attack r
Gamestate before (12, 10) attacks with mshstu001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
Bot {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}} does not have the weapon mshstu001 that it's trying to attack with
Gamestate after (12, 10) attacked with mshstu001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
0:03:53 left
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}

===============Round 32===============
Executing cmd: /home/k/knxboy001/public_html/genghis/bots/KNXBOY001 is doing attack l
Gamestate before (13, 10) attacks with knxboy001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
Bot {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}} does not have the weapon knxboy001 that it's trying to attack with
Gamestate after (13, 10) attacked with knxboy001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
Executing cmd: /home/k/knxboy001/public_html/genghis/bots/MSHSTU001 is doing attack r
Gamestate before (12, 10) attacks with mshstu001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
Bot {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}} does not have the weapon mshstu001 that it's trying to attack with
Gamestate after (12, 10) attacked with mshstu001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
0:03:51 left
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}

===============Round 33===============
Executing cmd: /home/k/knxboy001/public_html/genghis/bots/KNXBOY001 is doing attack l
Gamestate before (13, 10) attacks with knxboy001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
Bot {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}} does not have the weapon knxboy001 that it's trying to attack with
Gamestate after (13, 10) attacked with knxboy001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
Executing cmd: /home/k/knxboy001/public_html/genghis/bots/MSHSTU001 is doing attack r
Gamestate before (12, 10) attacks with mshstu001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
Bot {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}} does not have the weapon mshstu001 that it's trying to attack with
Gamestate after (12, 10) attacked with mshstu001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
0:03:49 left
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}

===============Round 34===============
Executing cmd: /home/k/knxboy001/public_html/genghis/bots/KNXBOY001 is doing attack l
Gamestate before (13, 10) attacks with knxboy001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
Bot {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}} does not have the weapon knxboy001 that it's trying to attack with
Gamestate after (13, 10) attacked with knxboy001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
Executing cmd: /home/k/knxboy001/public_html/genghis/bots/MSHSTU001 is doing attack r
Gamestate before (12, 10) attacks with mshstu001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
Bot {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}} does not have the weapon mshstu001 that it's trying to attack with
Gamestate after (12, 10) attacked with mshstu001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
0:03:47 left
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}

===============Round 35===============
Executing cmd: /home/k/knxboy001/public_html/genghis/bots/KNXBOY001 is doing attack l
Gamestate before (13, 10) attacks with knxboy001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
Bot {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}} does not have the weapon knxboy001 that it's trying to attack with
Gamestate after (13, 10) attacked with knxboy001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
Executing cmd: /home/k/knxboy001/public_html/genghis/bots/MSHSTU001 is doing attack r
Gamestate before (12, 10) attacks with mshstu001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
Bot {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}} does not have the weapon mshstu001 that it's trying to attack with
Gamestate after (12, 10) attacked with mshstu001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
0:03:45 left
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}

===============Round 36===============
Executing cmd: /home/k/knxboy001/public_html/genghis/bots/KNXBOY001 is doing attack l
Gamestate before (13, 10) attacks with knxboy001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
Bot {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}} does not have the weapon knxboy001 that it's trying to attack with
Gamestate after (13, 10) attacked with knxboy001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
Executing cmd: /home/k/knxboy001/public_html/genghis/bots/MSHSTU001 is doing attack r
Gamestate before (12, 10) attacks with mshstu001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
Bot {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}} does not have the weapon mshstu001 that it's trying to attack with
Gamestate after (12, 10) attacked with mshstu001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
0:03:42 left
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}

===============Round 37===============
Executing cmd: /home/k/knxboy001/public_html/genghis/bots/KNXBOY001 is doing attack l
Gamestate before (13, 10) attacks with knxboy001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
Bot {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}} does not have the weapon knxboy001 that it's trying to attack with
Gamestate after (13, 10) attacked with knxboy001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
Executing cmd: /home/k/knxboy001/public_html/genghis/bots/MSHSTU001 is doing attack r
Gamestate before (12, 10) attacks with mshstu001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
Bot {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}} does not have the weapon mshstu001 that it's trying to attack with
Gamestate after (12, 10) attacked with mshstu001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
0:03:40 left
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}

===============Round 38===============
Executing cmd: /home/k/knxboy001/public_html/genghis/bots/KNXBOY001 is doing attack l
Gamestate before (13, 10) attacks with knxboy001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
Bot {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}} does not have the weapon knxboy001 that it's trying to attack with
Gamestate after (13, 10) attacked with knxboy001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
Executing cmd: /home/k/knxboy001/public_html/genghis/bots/MSHSTU001 is doing attack r
Gamestate before (12, 10) attacks with mshstu001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
Bot {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}} does not have the weapon mshstu001 that it's trying to attack with
Gamestate after (12, 10) attacked with mshstu001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
0:03:38 left
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}

===============Round 39===============
Executing cmd: /home/k/knxboy001/public_html/genghis/bots/KNXBOY001 is doing attack l
Gamestate before (13, 10) attacks with knxboy001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
Bot {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}} does not have the weapon knxboy001 that it's trying to attack with
Gamestate after (13, 10) attacked with knxboy001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
Executing cmd: /home/k/knxboy001/public_html/genghis/bots/MSHSTU001 is doing attack r
Gamestate before (12, 10) attacks with mshstu001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
Bot {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}} does not have the weapon mshstu001 that it's trying to attack with
Gamestate after (12, 10) attacked with mshstu001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
0:03:36 left
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}

===============Round 40===============
Executing cmd: /home/k/knxboy001/public_html/genghis/bots/KNXBOY001 is doing attack l
Gamestate before (13, 10) attacks with knxboy001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
Bot {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}} does not have the weapon knxboy001 that it's trying to attack with
Gamestate after (13, 10) attacked with knxboy001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
Executing cmd: /home/k/knxboy001/public_html/genghis/bots/MSHSTU001 is doing attack r
Gamestate before (12, 10) attacks with mshstu001:
{'bots': {'KNXBOY001': {'student_number': 'KNXBOY001', 'default_icon': 'B', 'coins': {'knxboy001': 0, 'mshstu001': 1}}, 'MSHSTU001': {'student_number': 'MSHSTU001', 'default_icon': 'S', 'coins': {'mshstu001': 0}}}, 'ports': {'1': 'MSHSTU001'}, 'self': 'KNXBOY001', 'coins': {'knxboy001': 'b'}}
